Altium Designer Pick and Place Locations
C:\Users\dontb\AppData\Local\TempReleases\Snapshot\1\Sources\Pick Place\Pick Place for SoBQ.txt

========================================================================================================================
File Design Information:

Date:       02/12/18
Time:       19:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                 Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description       
OLED1      "OLED MONO 128x32"      TopLayer    5025850670                     15019.000     4500.890      360      ""                
R60        10K                     TopLayer    0402_L                         14770.165     4807.000      90       Resistor          
R59        10K                     TopLayer    0402_L                         14770.496     4896.532      270      Resistor          
SW110      B3U-1000P               TopLayer    B3U-1000P                      14517.496     4599.000      270      ""                
SW109      B3U-1000P               TopLayer    B3U-1000P                      14517.188     4783.186      270      ""                
R58        10K                     BottomLayer 0402_L                         14972.398     4208.902      180      Resistor          
R57        10K                     BottomLayer 0402_L                         14976.398     4110.257      180      Resistor          
R55        10K                     BottomLayer 0402_L                         15133.125     4307.000      360      Resistor          
R54        10K                     BottomLayer 0402_L                         15219.000     4307.000      180      Resistor          
C24        "0u1F 16V X7R"          BottomLayer 0402_L_C                       14911.000     4230.752      270      Capacitor         
C23        "0u1F 16V X7R"          BottomLayer 0402_L_C                       14906.000     4088.406      90       Capacitor         
TVS1       PRTR5V0U2X,215          BottomLayer SOT143B-RF                     15440.015     4760.158      180      ""                
F1         0ZCK0050AF2E            TopLayer    0ZCK0050AF2E                   15548.496     4588.000      270      "Thermal Fuse"    
J2         "2 Pin Header"          TopLayer    2_PIN_HEADER                   14543.496     4948.000      180      ""                
R56        5.1K                    TopLayer    0402_L                         15145.173     4840.000      90       Resistor          
R53        5.1K                    TopLayer    0402_L                         15439.496     4702.000      90       Resistor          
USB1       "USB C"                 TopLayer    USB_C                          15400.566     4918.992      180      ""                
J1         "SWD header 5 Pin"      TopLayer    SWD_5_PIN                      14207.495     4948.000      360      ""                
U2         STM32F401RE             BottomLayer LQFP64-STM32                   14440.495     4531.000      270      ""                
XTAL1      ATS08ASM-1E             BottomLayer ATS25ASM-1E                    14916.496     4588.000      270      "8MHz 60ESR 20pF" 
R50        10K                     TopLayer    0402_L                         14665.290     4481.000      180      Resistor          
R49        10K                     TopLayer    0402_L                         14665.290     4433.600      180      Resistor          
R48        10K                     TopLayer    0402_L                         14665.290     4386.200      180      Resistor          
R47        10K                     TopLayer    0402_L                         14665.290     4338.800      180      Resistor          
R45        10K                     TopLayer    0402_L                         14665.290     4291.400      180      Resistor          
